学生编号：32620 绩点：1.61
志愿5: 28133

学生编号：45745 绩点：2.02
志愿1: 28133
志愿2: 19390
志愿3: 61211
志愿4: 46603
志愿5: 99810

学生编号：03342 绩点：2.92
志愿1: 69601
志愿2: 45532
志愿3: 90541
志愿4: 54293
志愿5: 65806

学生编号：46685 绩点：3.95
志愿1: 57549
志愿2: 52501
志愿3: 93652
志愿4: 45532
志愿5: 08732

学生编号：91312 绩点：2.39
志愿1: 20503
志愿2: 06229
志愿3: 65806
志愿4: 20812
志愿5: 54964

学生编号：34678 绩点：1.74
志愿1: 54964
志愿2: 19390
志愿3: 20503
志愿4: 90541
志愿5: 81691

学生编号：35157 绩点：3.09
志愿1: 93652
志愿2: 20812
志愿3: 19390
志愿4: 61111
志愿5: 68464

学生编号：19032 绩点：4.77
志愿1: 64984
志愿2: 28133
志愿3: 96183
志愿4: 46603
志愿5: 25644

学生编号：08483 绩点：3.66
志愿1: 64984
志愿2: 19390
志愿3: 96183
志愿4: 54964
志愿5: 51751

学生编号：12311 绩点：1.91
志愿1: 45532
志愿2: 61111
志愿3: 68464
志愿4: 71254
志愿5: 54964

学生编号：14371 绩点：3.96
志愿1: 69601
志愿2: 20503
志愿3: 96183
志愿4: 51751
志愿5: 90541

学生编号：22103 绩点：1.61
志愿1: 81691
志愿2: 65806
志愿3: 68464
志愿4: 93652
志愿5: 08732

学生编号：58500 绩点：1.36
志愿1: 69601
志愿2: 91157
志愿3: 80390
志愿4: 45532
志愿5: 81691

学生编号：96026 绩点：4.89
志愿1: 61111
志愿2: 20812
志愿3: 81691
志愿4: 61211
志愿5: 08732

学生编号：84634 绩点：2.51
志愿1: 08802
志愿2: 96183
志愿3: 61211
志愿4: 64984
志愿5: 06229

学生编号：72926 绩点：3.19
志愿1: 99810
志愿2: 20812
志愿3: 68464
志愿4: 08802
志愿5: 64984

学生编号：31040 绩点：2.63
志愿1: 54293
志愿2: 52787
志愿3: 46603
志愿4: 65806
志愿5: 57549

学生编号：85423 绩点：1.43
志愿1: 61211
志愿2: 06229
志愿3: 71254
志愿4: 54293
志愿5: 96183

学生编号：80029 绩点：2.98
志愿1: 28133
志愿2: 54293
志愿3: 54964
志愿4: 20503
志愿5: 81691

学生编号：49735 绩点：3.04
志愿1: 19390
志愿2: 61111
志愿3: 06229
志愿4: 51751
志愿5: 28133

学生编号：33539 绩点：2.49
志愿1: 61211
志愿2: 52501
志愿3: 46603
志愿4: 20812
志愿5: 20503

学生编号：24974 绩点：4.39
志愿1: 65806
志愿2: 25644
志愿3: 54964
志愿4: 99810
志愿5: 06229

学生编号：07927 绩点：2.1
志愿1: 45532
志愿2: 28133
志愿3: 19390
志愿4: 65806
志愿5: 61111

学生编号：46856 绩点：3.76
志愿1: 54964
志愿2: 52501
志愿3: 61211
志愿4: 64984
志愿5: 96183

学生编号：46147 绩点：3.64
志愿1: 90541
志愿2: 65806
志愿3: 64984
志愿4: 52501
志愿5: 57549

学生编号：15070 绩点：2.13
志愿1: 61111
志愿2: 90541
志愿3: 51751
志愿4: 28133
志愿5: 69601

学生编号：84349 绩点：2.22
志愿1: 25644
志愿2: 28133
志愿3: 93652
志愿4: 61111
志愿5: 69601

学生编号：75015 绩点：1.76
志愿1: 64984
志愿2: 93652
志愿3: 57549
志愿4: 25644
志愿5: 69601

学生编号：30028 绩点：3.01
志愿1: 08802
志愿2: 45532
志愿3: 25644
志愿4: 20503
志愿5: 08732

学生编号：35810 绩点：4.93
志愿1: 06229
志愿2: 54964
志愿3: 96183
志愿4: 64984
志愿5: 08732

学生编号：80818 绩点：4.14
志愿1: 99810
志愿2: 81691
志愿3: 69601
志愿4: 90541
志愿5: 54293

学生编号：30529 绩点：4.94
志愿1: 57549
志愿2: 61111
志愿3: 25644
志愿4: 90541
志愿5: 65806

导师编号：93652 期望学生数：3
导师编号：51751 期望学生数：5
导师编号：06229 期望学生数：2
导师编号：19390 期望学生数：5
导师编号：54964 期望学生数：1
导师编号：08732 期望学生数：6
导师编号：64984 期望学生数：4
导师编号：81691 期望学生数：0
导师编号：68464 期望学生数：4
导师编号：57549 期望学生数：0
导师编号：80390 期望学生数：0
导师编号：46603 期望学生数：8
导师编号：52501 期望学生数：7
导师编号：90541 期望学生数：8
导师编号：99810 期望学生数：8
导师编号：61211 期望学生数：3
导师编号：20812 期望学生数：3
导师编号：25644 期望学生数：1
导师编号：71254 期望学生数：2
导师编号：69601 期望学生数：3
导师编号：96183 期望学生数：5
导师编号：54293 期望学生数：6
导师编号：61111 期望学生数：8
导师编号：65806 期望学生数：7
导师编号：45532 期望学生数：0
导师编号：20503 期望学生数：5
导师编号：52787 期望学生数：0
导师编号：08802 期望学生数：8
导师编号：91157 期望学生数：7
导师编号：28133 期望学生数：8
